Sample,Country,Age,Method,Sex,Informative_sequence_count (Mbp)_of_library,Expected_genomic_coverage_of_library,Expected_genomic_coverage_of_input,Endogenous_DNA_shotgun,Nr_rawreads,Nr_mapped_reads,Endogenous_DNA,Mean_length_mapped_reads,All_mapped_reads_to_104k_80bp,All_mapped_reads_to_104k_121bp,All_mapped_reads_to_232k_80bp,All_non_comparable_mapped_reads,All_MT_reads,Mean_cov_of_104k_80bp_incdup,Mean_cov_of_104k_SNPsite_incdup,at_least_1X_of_target_104k_SNPsite_incdup,at_least_2X_of_target_104k_SNPsite_incdup,at_least_3X_of_target_104k_SNPsite_incdup,at_least_4X_of_target_104k_SNPsite_incdup,at_least_5X_of_target_104k_SNPsite_incdup,MT_to_nuclear_ratio_dedup,Nr_dedup_mapped_reads,Mean_cov_of_target_232k_SNPsite,Mean _cov_of_target_104k_80bp_dedup,Mean_cov_of_original_panel_dedup,Mean_cov_of_target_104k_SNPsite_dedup,GC_dedup_mapped_reads,5_Prime_C>T_1st_base_on-target_104k_80bp_dedup
TPC001,B,197,myBaits,male,106083.6539,94.71754815,13.26045674,31.08,44109818,35460288,80.39,56.87,26128311,26208514,26490634,442526,6889,151.5,189.9,0.987,0.983,0.98,0.977,0.974,23.8,6665840,11.4,21.3,17.9,24.8,43,5.6
TPC003,B,164,myBaits,female,16001.84324,14.28736004,2.000230405,3.49,40076959,8900328,22.21,54.07,5755356,5777394,5859902,126584,1080,32.9,41.4,0.897,0.883,0.864,0.843,0.82,13.4,1279857,1.8,3.3,2.8,4,45,8.8
TPC019,B,NA,myBaits,male,6719.384251,5.999450224,0.839923031,4.13,33888618,8542518,25.21,44.99,6383162,6407174,6486387,127237,469,31.6,39.7,0.622,0.615,0.608,0.598,0.585,9.6,510048,0.6,1.1,0.9,1.2,43,6.9
VKP001,B,883,myBaits,male,165940.1926,148.1608862,20.74252407,24.73,51735256,37924188,73.3,61.74,27804669,28032242,28176120,599024,1036,165.7,203.6,0.986,0.983,0.98,0.978,0.975,3.4,6357489,13.1,24.4,20.6,28.5,42,15.3
VKP002,B,1138,myBaits,male,40551.28637,36.20650569,5.068910797,10.61,43087342,20788158,48.25,57.73,15379588,15429153,15574881,244858,2959,91.3,113.7,0.97,0.965,0.959,0.953,0.945,19.8,2603287,4.5,8.4,7.1,9.8,42,24
VKP003,B,1159,myBaits,female,36727.78709,32.79266705,4.590973386,9.57,44477501,19749796,44.4,58.38,14166941,14226381,14375072,267571,499,84.3,104.8,0.974,0.968,0.962,0.955,0.948,3.6,2863372,5.2,9.6,8,11.2,42,22.4
BRW001,PL,1904,Twist,male,2366596.726,2113.032791,211.3032791,90.05,30862147,28706054,93.01,62.07,2502227,2573621,6106983,3676150,964,15.2,20.1,0.992,0.98,0.965,0.943,0.918,3,15319755,14.4,10.4,11.3,13.3,42,9.6
DSZ007,PL,332,Twist,male,22676.08292,20.24650261,2.024650261,10.13,96147207,70929396,73.77,53.03,6193802,6360398,14498281,8471075,241,36.5,48.1,0.974,0.966,0.957,0.949,0.939,0.7,11901973,8.7,7.1,7,9,47,14
DVT014,B,13319,Twist,male,9523.440566,8.503071934,0.850307193,19.51,141764490,104997728,74.06,46.06,9282532,9503561,21521147,12459644,8929,50,68.6,0.927,0.916,0.906,0.896,0.887,33,9422622,3.5,2.7,2.8,3.4,45,50.4
DVT017,B,13732,Twist,male,6072.275907,5.421674917,0.542167492,16.79,230692771,139247783,60.36,41.54,9491291,9821424,25107408,15946250,1669,49.7,65.5,0.629,0.616,0.605,0.595,0.586,5.1,7366472,1.6,1.2,1.3,1.5,46,44.3
